Code,Cause,ISO3,Year,Sex,Age Group.2,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
270,Lymphatic filariasis,CHN,2009,MLE,0-1,9244636,0,0,0,0
280,Onchocerciasis,CHN,2009,MLE,0-1,9244636,0,0,0,0
285,Cysticercosis,CHN,2009,MLE,0-1,9244636,0,0,0,0
295,Echinococcosis,CHN,2009,MLE,0-1,9244636,0,0,0,0
700,Breast cancer,CHN,2009,MLE,0-1,9244636,0,0,0,0
710,Cervix uteri cancer,CHN,2009,MLE,0-1,9244636,0,0,0,0
720,Corpus uteri cancer,CHN,2009,MLE,0-1,9244636,0,0,0,0
730,Ovary cancer,CHN,2009,MLE,0-1,9244636,0,0,0,0
740,Prostate cancer,CHN,2009,MLE,0-1,9244636,0,0,0,0
750,Bladder cancer,CHN,2009,MLE,0-1,9244636,0,0,0,0
670,Pancreas cancer,CHN,2009,MLE,0-1,9244636,0,0,0,0
680,"Trachea, bronchus, lung cancers",CHN,2009,MLE,0-1,9244636,0,0,0,0
560,Iodine deficiency,CHN,2009,MLE,0-1,9244636,0,0,0.87,0.01
570,Vitamin A deficiency,CHN,2009,MLE,0-1,9244636,0,0,2128.99,23.03
580,Iron-deficiency anaemia,CHN,2009,MLE,0-1,9244636,0,0,26532.31,287
620,Mouth and oropharynx cancers,CHN,2009,MLE,0-1,9244636,0,0,0,0
630,Oesophagus cancer,CHN,2009,MLE,0-1,9244636,0,0,0,0
640,Stomach cancer,CHN,2009,MLE,0-1,9244636,0,0,0,0
650,Colon and rectum cancers,CHN,2009,MLE,0-1,9244636,0,0,0,0
830,Depressive disorders,CHN,2009,MLE,0-1,9244636,0,0,0,0
840,Bipolar disorder,CHN,2009,MLE,0-1,9244636,0,0,0,0
850,Schizophrenia,CHN,2009,MLE,0-1,9244636,0,0,0,0
860,Alcohol use disorders,CHN,2009,MLE,0-1,9244636,0,0,30.1,0.33
870,Drug use disorders,CHN,2009,MLE,0-1,9244636,0,0,0,0
880,Anxiety disorders,CHN,2009,MLE,0-1,9244636,0,0,0,0
890,Eating disorders,CHN,2009,MLE,0-1,9244636,0,0,0,0
900,Autism and Asperger syndrome,CHN,2009,MLE,0-1,9244636,0,0,10288.75,111.29
910,Childhood behavioural disorders,CHN,2009,MLE,0-1,9244636,0,0,0,0
920,Idiopathic intellectual disability,CHN,2009,MLE,0-1,9244636,0,0,2311.34,25
950,Alzheimer disease and other dementias,CHN,2009,MLE,0-1,9244636,0,0,0,0
960,Parkinson disease,CHN,2009,MLE,0-1,9244636,0,0,0,0
980,Multiple sclerosis,CHN,2009,MLE,0-1,9244636,0,0,0,0
990,Migraine,CHN,2009,MLE,0-1,9244636,0,0,0,0
1000,Non-migraine headache,CHN,2009,MLE,0-1,9244636,0,0,0,0
1030,Glaucoma,CHN,2009,MLE,0-1,9244636,0,0,0,0
1040,Cataracts,CHN,2009,MLE,0-1,9244636,0,0,0,0
1050,Uncorrected refractive errors,CHN,2009,MLE,0-1,9244636,0,0,4203.22,45.47
1060,Macular degeneration,CHN,2009,MLE,0-1,9244636,0,0,0,0
1070,Other vision loss,CHN,2009,MLE,0-1,9244636,0,0,67.83,0.73
1080,Other hearing loss,CHN,2009,MLE,0-1,9244636,0,0,2050.93,22.19
1110,Rheumatic heart disease,CHN,2009,MLE,0-1,9244636,0,0,0,0
1120,Hypertensive heart disease,CHN,2009,MLE,0-1,9244636,0,0,0,0
1130,Ischaemic heart disease,CHN,2009,MLE,0-1,9244636,0,0,0,0
1610,Self-harm,CHN,2009,MLE,0-1,9244636,0,0,0,0
1470,Oral conditions,CHN,2009,MLE,0-1,9244636,0,0,0,0
1350,Rheumatoid arthritis,CHN,2009,MLE,0-1,9244636,0,0,0,0
1360,Osteoarthritis,CHN,2009,MLE,0-1,9244636,0,0,0,0
1370,Gout,CHN,2009,MLE,0-1,9244636,0,0,0,0
1380,Back and neck pain,CHN,2009,MLE,0-1,9244636,0,0,0,0
1280,Benign prostatic hyperplasia,CHN,2009,MLE,0-1,9244636,0,0,0,0
1290,Urolithiasis,CHN,2009,MLE,0-1,9244636,0,0,0,0
1310,Infertility,CHN,2009,MLE,0-1,9244636,0,0,0,0
1320,Gynecological diseases,CHN,2009,MLE,0-1,9244636,0,0,0,0
752,Gallbladder and biliary tract cancer,CHN,2009,MLE,0-1,9244636,0,0,0,0
753,Larynx cancer,CHN,2009,MLE,0-1,9244636,0,0,0,0
754,Thyroid cancer,CHN,2009,MLE,0-1,9244636,0,0,0,0
755,Mesothelioma,CHN,2009,MLE,0-1,9244636,0,0,0,0
760,"Lymphomas, multiple myeloma",CHN,2009,MLE,0-1,9244636,0,0,0,0
1180,Chronic obstructive pulmonary disease,CHN,2009,MLE,0-1,9244636,0,0,61.07,0.66
1190,Asthma,CHN,2009,MLE,0-1,9244636,0,0,0,0
1220,Peptic ulcer disease,CHN,2009,MLE,0-1,9244636,0,0,0,0
1230,Cirrhosis of the liver,CHN,2009,MLE,0-1,9244636,0,0,53.66,0.58
1240,Appendicitis,CHN,2009,MLE,0-1,9244636,0,0,0,0
1241,Gastritis and duodenitis,CHN,2009,MLE,0-1,9244636,0,0,0,0
1244,Inflammatory bowel disease,CHN,2009,MLE,0-1,9244636,0,0,0,0
1246,Gallbladder and biliary diseases,CHN,2009,MLE,0-1,9244636,0,0,0,0
1248,Pancreatitis,CHN,2009,MLE,0-1,9244636,0,0,0,0
1530,Road injury,CHN,2009,MLE,40-44,63100000,27338.47,43.33,1442393,2285.88
1140,Stroke,CHN,2009,MLE,40-44,63100000,23302.81,36.93,1196590,1896.34
1130,Ischaemic heart disease,CHN,2009,MLE,40-44,63100000,20421.74,32.36,1012474,1604.55
1230,Cirrhosis of the liver,CHN,2009,MLE,40-44,63100000,10952.93,17.36,532022.1,843.14
640,Stomach cancer,CHN,2009,MLE,40-44,63100000,10123.1,16.04,489837.4,776.29
680,"Trachea, bronchus, lung cancers",CHN,2009,MLE,40-44,63100000,9347.59,14.81,449984.8,713.13
660,Liver cancer,CHN,2009,MLE,40-44,63100000,8700.85,13.79,418584.5,663.37
100,HIV/AIDS,CHN,2009,MLE,40-44,63100000,7355,11.66,357827.3,567.08
1610,Self-harm,CHN,2009,MLE,40-44,63100000,6972.05,11.05,337409.7,534.72
1550,Falls,CHN,2009,MLE,40-44,63100000,6335.85,10.04,409427.2,648.85
650,Colon and rectum cancers,CHN,2009,MLE,40-44,63100000,5183.55,8.21,255641.3,405.14
630,Oesophagus cancer,CHN,2009,MLE,40-44,63100000,4903.26,7.77,236316.3,374.51
1575,Exposure to mechanical forces,CHN,2009,MLE,40-44,63100000,4758.13,7.54,258255.4,409.28
1270,Kidney diseases,CHN,2009,MLE,40-44,63100000,3858.34,6.11,252482.5,400.13
860,Alcohol use disorders,CHN,2009,MLE,40-44,63100000,3275.4,5.19,402852.3,638.43
1180,Chronic obstructive pulmonary disease,CHN,2009,MLE,40-44,63100000,3128.46,4.96,216043.9,342.38
1570,Drowning,CHN,2009,MLE,40-44,63100000,2436.32,3.86,118054,187.09
30,Tuberculosis,CHN,2009,MLE,40-44,63100000,2300.18,3.65,130777.2,207.25
620,Mouth and oropharynx cancers,CHN,2009,MLE,40-44,63100000,2252.71,3.57,112099.8,177.65
770,Leukaemia,CHN,2009,MLE,40-44,63100000,2244.22,3.56,109777.5,173.97
751,Brain and nervous system cancers,CHN,2009,MLE,40-44,63100000,2132.99,3.38,103047.5,163.31
670,Pancreas cancer,CHN,2009,MLE,40-44,63100000,1962.85,3.11,94342.41,149.51
800,Diabetes mellitus,CHN,2009,MLE,40-44,63100000,1686.73,2.67,315525.6,500.04
760,"Lymphomas, multiple myeloma",CHN,2009,MLE,40-44,63100000,1461.75,2.32,71230.85,112.89
1540,Poisonings,CHN,2009,MLE,40-44,63100000,1442.06,2.29,70934.66,112.42
1120,Hypertensive heart disease,CHN,2009,MLE,40-44,63100000,1426.62,2.26,73307.31,116.18
390,Lower respiratory infections,CHN,2009,MLE,40-44,63100000,1288.68,2.04,64149.19,101.66
1110,Rheumatic heart disease,CHN,2009,MLE,40-44,63100000,1118.39,1.77,70125.4,111.13
1220,Peptic ulcer disease,CHN,2009,MLE,40-44,63100000,1071.03,1.7,54191.26,85.88
1620,Interpersonal violence,CHN,2009,MLE,40-44,63100000,897.24,1.42,93159.98,147.64
970,Epilepsy,CHN,2009,MLE,40-44,63100000,874.14,1.39,79648.44,126.23
1150,"Cardiomyopathy, myocarditis, endocarditis",CHN,2009,MLE,40-44,63100000,868.36,1.38,42394.82,67.19
320,Rabies,CHN,2009,MLE,40-44,63100000,759.96,1.2,36353.16,57.61
745,Kidney cancer,CHN,2009,MLE,40-44,63100000,583.94,0.93,29195.06,46.27
870,Drug use disorders,CHN,2009,MLE,40-44,63100000,546.96,0.87,134003.1,212.37
1560,"Fire, heat and hot substances",CHN,2009,MLE,40-44,63100000,533.14,0.84,43570.12,69.05
752,Gallbladder and biliary tract cancer,CHN,2009,MLE,40-44,63100000,484.25,0.77,23332.43,36.98
1248,Pancreatitis,CHN,2009,MLE,40-44,63100000,468.41,0.74,23980.21,38
1400,Congenital anomalies,CHN,2009,MLE,40-44,63100000,454.57,0.72,68834.47,109.09
690,Melanoma and other skin cancers,CHN,2009,MLE,40-44,63100000,437.03,0.69,21204.84,33.61
750,Bladder cancer,CHN,2009,MLE,40-44,63100000,425.36,0.67,21721.32,34.42
753,Larynx cancer,CHN,2009,MLE,40-44,63100000,361.32,0.57,17812.13,28.23
1190,Asthma,CHN,2009,MLE,40-44,63100000,322.26,0.51,40455.39,64.11
1241,Gastritis and duodenitis,CHN,2009,MLE,40-44,63100000,309.63,0.49,34283.52,54.33
190,Acute hepatitis B,CHN,2009,MLE,40-44,63100000,232.76,0.37,16900.71,26.78
170,Meningitis,CHN,2009,MLE,40-44,63100000,216.78,0.34,11849.87,18.78
1242,Paralytic ileus and intestinal obstruction,CHN,2009,MLE,40-44,63100000,187.06,0.3,9586.75,15.19
1630,Collective violence and legal intervention,CHN,2009,MLE,40-44,63100000,163.55,0.26,8423.44,13.35
811,Thalassaemias,CHN,2009,MLE,40-44,63100000,142.22,0.23,14965.15,23.72
960,Parkinson disease,CHN,2009,MLE,40-44,63100000,139.61,0.22,10230.21,16.21
110,Diarrhoeal diseases,CHN,2009,MLE,40-44,63100000,132.11,0.21,39118.01,61.99
1246,Gallbladder and biliary diseases,CHN,2009,MLE,40-44,63100000,133.27,0.21,59289.84,93.96
180,Encephalitis,CHN,2009,MLE,40-44,63100000,114.97,0.18,11787.25,18.68
740,Prostate cancer,CHN,2009,MLE,40-44,63100000,114.87,0.18,5854.26,9.28
754,Thyroid cancer,CHN,2009,MLE,40-44,63100000,109.06,0.17,5754.7,9.12
755,Mesothelioma,CHN,2009,MLE,40-44,63100000,108.35,0.17,5215.24,8.27
1330,Skin diseases,CHN,2009,MLE,40-44,63100000,93.94,0.15,140064.8,221.97
980,Multiple sclerosis,CHN,2009,MLE,40-44,63100000,97.59,0.15,5278.5,8.37
742,Testicular cancer,CHN,2009,MLE,40-44,63100000,82.92,0.13,4391.14,6.96
700,Breast cancer,CHN,2009,MLE,40-44,63100000,80.74,0.13,4043.69,6.41
1350,Rheumatoid arthritis,CHN,2009,MLE,40-44,63100000,73.66,0.12,16417.22,26.02
1244,Inflammatory bowel disease,CHN,2009,MLE,40-44,63100000,70.54,0.11,10784.04,17.09
950,Alzheimer disease and other dementias,CHN,2009,MLE,40-44,63100000,68.27,0.11,4308.9,6.83
550,Protein-energy malnutrition,CHN,2009,MLE,40-44,63100000,66.29,0.11,34108.37,54.05
160,Tetanus,CHN,2009,MLE,40-44,63100000,54.77,0.09,2627.36,4.16
1240,Appendicitis,CHN,2009,MLE,40-44,63100000,51.22,0.08,3806.94,6.03
1290,Urolithiasis,CHN,2009,MLE,40-44,63100000,53.46,0.08,6603.93,10.47
400,Upper respiratory infections,CHN,2009,MLE,40-44,63100000,41.57,0.07,40865.04,64.76
1580,Natural disasters,CHN,2009,MLE,40-44,63100000,34.08,0.05,5199.73,8.24
250,Schistosomiasis,CHN,2009,MLE,40-44,63100000,18.13,0.03,4847.9,7.68
200,Acute hepatitis C,CHN,2009,MLE,40-44,63100000,9.76,0.02,474.72,0.75
50,Syphilis,CHN,2009,MLE,40-44,63100000,10.12,0.02,987.76,1.57
285,Cysticercosis,CHN,2009,MLE,40-44,63100000,14.39,0.02,19028.7,30.16
295,Echinococcosis,CHN,2009,MLE,40-44,63100000,6.54,0.01,801.18,1.27
130,Whooping cough,CHN,2009,MLE,40-44,63100000,6.38,0.01,323.62,0.51
205,Acute hepatitis E,CHN,2009,MLE,40-44,63100000,9.35,0.01,665.4,1.05
220,Malaria,CHN,2009,MLE,40-44,63100000,0.61,0,46.81,0.07
230,African trypanosomiasis,CHN,2009,MLE,40-44,63100000,0,0,0,0
240,Chagas disease,CHN,2009,MLE,40-44,63100000,0,0,0,0
260,Leishmaniasis,CHN,2009,MLE,40-44,63100000,0,0,1.29,0
270,Lymphatic filariasis,CHN,2009,MLE,40-44,63100000,0,0,0,0
280,Onchocerciasis,CHN,2009,MLE,40-44,63100000,0,0,0,0
140,Diphtheria,CHN,2009,MLE,40-44,63100000,1.48,0,70.79,0.11
150,Measles,CHN,2009,MLE,40-44,63100000,1.22,0,59.6,0.09
60,Chlamydia,CHN,2009,MLE,40-44,63100000,0,0,7097.17,11.25
70,Gonorrhoea,CHN,2009,MLE,40-44,63100000,1.66,0,1337.37,2.12
80,Trichomoniasis,CHN,2009,MLE,40-44,63100000,0,0,514.98,0.82
85,Genital herpes,CHN,2009,MLE,40-44,63100000,0,0,1616.87,2.56
300,Dengue,CHN,2009,MLE,40-44,63100000,1.33,0,1499.82,2.38
310,Trachoma,CHN,2009,MLE,40-44,63100000,0,0,299.5,0.47
315,Yellow fever,CHN,2009,MLE,40-44,63100000,0,0,0,0
340,Ascariasis,CHN,2009,MLE,40-44,63100000,0.99,0,282.65,0.45
350,Trichuriasis,CHN,2009,MLE,40-44,63100000,0,0,373.72,0.59
360,Hookworm disease,CHN,2009,MLE,40-44,63100000,0,0,2562.28,4.06
362,Food-bourne trematodes,CHN,2009,MLE,40-44,63100000,0,0,53748.55,85.18
365,Leprosy,CHN,2009,MLE,40-44,63100000,0,0,48.73,0.08
410,Otitis media,CHN,2009,MLE,40-44,63100000,0.06,0,15744.35,24.95
420,Maternal conditions,CHN,2009,MLE,40-44,63100000,0,0,0,0
490,Neonatal conditions,CHN,2009,MLE,40-44,63100000,0,0,95355.29,151.12
560,Iodine deficiency,CHN,2009,MLE,40-44,63100000,0,0,14671.5,23.25
570,Vitamin A deficiency,CHN,2009,MLE,40-44,63100000,0,0,1246.82,1.98
580,Iron-deficiency anaemia,CHN,2009,MLE,40-44,63100000,0,0,36610.2,58.02
186,Acute hepatitis A,CHN,2009,MLE,40-44,63100000,0,0,1387.98,2.2
710,Cervix uteri cancer,CHN,2009,MLE,40-44,63100000,0,0,0,0
720,Corpus uteri cancer,CHN,2009,MLE,40-44,63100000,0,0,0,0
730,Ovary cancer,CHN,2009,MLE,40-44,63100000,0,0,0,0
880,Anxiety disorders,CHN,2009,MLE,40-44,63100000,0,0,151927.7,240.77
890,Eating disorders,CHN,2009,MLE,40-44,63100000,2.86,0,7757.65,12.29
900,Autism and Asperger syndrome,CHN,2009,MLE,40-44,63100000,0,0,51499.67,81.62
910,Childhood behavioural disorders,CHN,2009,MLE,40-44,63100000,0,0,10306.73,16.33
920,Idiopathic intellectual disability,CHN,2009,MLE,40-44,63100000,0,0,25689.81,40.71
812,Sickle cell disorders and trait,CHN,2009,MLE,40-44,63100000,1.73,0,293.45,0.47
830,Depressive disorders,CHN,2009,MLE,40-44,63100000,0,0,292718.5,463.9
840,Bipolar disorder,CHN,2009,MLE,40-44,63100000,0,0,33259.87,52.71
850,Schizophrenia,CHN,2009,MLE,40-44,63100000,0,0,258816.9,410.17
1310,Infertility,CHN,2009,MLE,40-44,63100000,0,0,119935.4,190.07
1320,Gynecological diseases,CHN,2009,MLE,40-44,63100000,0,0,0,0
1470,Oral conditions,CHN,2009,MLE,40-44,63100000,0,0,138960.2,220.22
1505,Sudden infant death syndrome,CHN,2009,MLE,40-44,63100000,0,0,0,0
1360,Osteoarthritis,CHN,2009,MLE,40-44,63100000,0,0,87436.82,138.57
1370,Gout,CHN,2009,MLE,40-44,63100000,0,0,31476.85,49.88
1380,Back and neck pain,CHN,2009,MLE,40-44,63100000,0,0,448656.9,711.03
1280,Benign prostatic hyperplasia,CHN,2009,MLE,40-44,63100000,0,0,364.22,0.58
990,Migraine,CHN,2009,MLE,40-44,63100000,0,0,210350,333.36
1000,Non-migraine headache,CHN,2009,MLE,40-44,63100000,0,0,42628.46,67.56
1030,Glaucoma,CHN,2009,MLE,40-44,63100000,0,0,0,0
1040,Cataracts,CHN,2009,MLE,40-44,63100000,0,0,7306.26,11.58
1050,Uncorrected refractive errors,CHN,2009,MLE,40-44,63100000,0,0,142423.2,225.71
1060,Macular degeneration,CHN,2009,MLE,40-44,63100000,0,0,0,0
1070,Other vision loss,CHN,2009,MLE,40-44,63100000,0,0,32468.86,51.46
1080,Other hearing loss,CHN,2009,MLE,40-44,63100000,0,0,315702.4,500.32
1140,Stroke,CHN,2009,MLE,45-49,50400000,31332.81,62.17,1446459,2869.96
1130,Ischaemic heart disease,CHN,2009,MLE,45-49,50400000,25900.5,51.39,1161212,2303.99
1530,Road injury,CHN,2009,MLE,45-49,50400000,20905.02,41.48,1029490,2042.64
680,"Trachea, bronchus, lung cancers",CHN,2009,MLE,45-49,50400000,15699.47,31.15,679056.9,1347.34
640,Stomach cancer,CHN,2009,MLE,45-49,50400000,15056.42,29.87,653950.6,1297.52
1230,Cirrhosis of the liver,CHN,2009,MLE,45-49,50400000,12390.81,24.58,540881.6,1073.18
660,Liver cancer,CHN,2009,MLE,45-49,50400000,9903.44,19.65,428072.8,849.35
630,Oesophagus cancer,CHN,2009,MLE,45-49,50400000,8917.22,17.69,386227.6,766.32
100,HIV/AIDS,CHN,2009,MLE,45-49,50400000,6840,13.57,297883,591.04
650,Colon and rectum cancers,CHN,2009,MLE,45-49,50400000,6740.27,13.37,298739.7,592.74
1610,Self-harm,CHN,2009,MLE,45-49,50400000,6224.27,12.35,270701.5,537.11
1550,Falls,CHN,2009,MLE,45-49,50400000,5609.66,11.13,342395.6,679.36
1180,Chronic obstructive pulmonary disease,CHN,2009,MLE,45-49,50400000,4890.27,9.7,296100.9,587.5
1270,Kidney diseases,CHN,2009,MLE,45-49,50400000,3926.57,7.79,233373.1,463.04
1575,Exposure to mechanical forces,CHN,2009,MLE,45-49,50400000,3459.9,6.86,177443.3,352.07
620,Mouth and oropharynx cancers,CHN,2009,MLE,45-49,50400000,3086.45,6.12,137066.7,271.96
860,Alcohol use disorders,CHN,2009,MLE,45-49,50400000,2999.54,5.95,305174.2,605.5
670,Pancreas cancer,CHN,2009,MLE,45-49,50400000,2705.08,5.37,116816.3,231.78
30,Tuberculosis,CHN,2009,MLE,45-49,50400000,2413.75,4.79,124982.6,247.98
800,Diabetes mellitus,CHN,2009,MLE,45-49,50400000,2355.58,4.67,357008.8,708.35
751,Brain and nervous system cancers,CHN,2009,MLE,45-49,50400000,2155.01,4.28,93495.69,185.51
770,Leukaemia,CHN,2009,MLE,45-49,50400000,2094.71,4.16,92300.91,183.14
760,"Lymphomas, multiple myeloma",CHN,2009,MLE,45-49,50400000,1927.48,3.82,84544.15,167.75
1120,Hypertensive heart disease,CHN,2009,MLE,45-49,50400000,1913.61,3.8,91971.04,182.48
1570,Drowning,CHN,2009,MLE,45-49,50400000,1827.52,3.63,79833.99,158.4
390,Lower respiratory infections,CHN,2009,MLE,45-49,50400000,1480.08,2.94,65687.33,130.33
1220,Peptic ulcer disease,CHN,2009,MLE,45-49,50400000,1308.67,2.6,59167.44,117.4
1110,Rheumatic heart disease,CHN,2009,MLE,45-49,50400000,1291.4,2.56,67618.59,134.16
1540,Poisonings,CHN,2009,MLE,45-49,50400000,1209.72,2.4,53515.73,106.18
1150,"Cardiomyopathy, myocarditis, endocarditis",CHN,2009,MLE,45-49,50400000,898.78,1.78,39942.62,79.25
745,Kidney cancer,CHN,2009,MLE,45-49,50400000,819.98,1.63,36526.07,72.47
970,Epilepsy,CHN,2009,MLE,45-49,50400000,687.49,1.36,59325.93,117.71
753,Larynx cancer,CHN,2009,MLE,45-49,50400000,660.73,1.31,29360.05,58.25
1620,Interpersonal violence,CHN,2009,MLE,45-49,50400000,656.4,1.3,70158.04,139.2
320,Rabies,CHN,2009,MLE,45-49,50400000,649.04,1.29,27872.35,55.3
752,Gallbladder and biliary tract cancer,CHN,2009,MLE,45-49,50400000,610.76,1.21,26407.82,52.4
750,Bladder cancer,CHN,2009,MLE,45-49,50400000,605.06,1.2,27776.8,55.11
1560,"Fire, heat and hot substances",CHN,2009,MLE,45-49,50400000,469.75,0.93,35408.76,70.26
1248,Pancreatitis,CHN,2009,MLE,45-49,50400000,456.32,0.91,21015.18,41.7
1241,Gastritis and duodenitis,CHN,2009,MLE,45-49,50400000,387.03,0.77,36987.29,73.39
1190,Asthma,CHN,2009,MLE,45-49,50400000,387.27,0.77,37058.55,73.53
870,Drug use disorders,CHN,2009,MLE,45-49,50400000,384.24,0.76,83801.19,166.27
950,Alzheimer disease and other dementias,CHN,2009,MLE,45-49,50400000,378.57,0.75,22867.86,45.37
690,Melanoma and other skin cancers,CHN,2009,MLE,45-49,50400000,322.27,0.64,14049.24,27.88
1400,Congenital anomalies,CHN,2009,MLE,45-49,50400000,295.97,0.59,49226.2,97.67
960,Parkinson disease,CHN,2009,MLE,45-49,50400000,264.08,0.52,17842.78,35.4
740,Prostate cancer,CHN,2009,MLE,45-49,50400000,241.43,0.48,11126.46,22.08
190,Acute hepatitis B,CHN,2009,MLE,45-49,50400000,221.28,0.44,13636.13,27.06
